,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
76,7 days ,60.0,18.0,Flat,"MPCHS - Islamabad Garden, E-11/1",1850.0,3.0,4.0,https://www.prop.pk/property/details-20574274.html,1100-1975,49-61
77,7 days ,34.0,9.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-21073202.html,225-1100,25-37
78,7 days ,45.0,5.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20956246.html,1100-1975,37-49
79,7 days ,32.0,4.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20773685.html,225-1100,25-37
80,7 days ,50.0,2.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20956238.html,1100-1975,49-61
81,7 days ,65.0,11.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-20709560.html,1100-1975,61-73
82,7 days ,33.0,4.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20628828.html,225-1100,25-37
83,7 days ,35.0,5.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20699158.html,225-1100,25-37
84,7 days ,50.0,8.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-20674917.html,225-1100,49-61
85,7 days ,45.0,19.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20709551.html,1100-1975,37-49
86,7 days ,50.0,12.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20709548.html,1100-1975,49-61
87,7 days ,45.0,9.0,Flat,E-11,750.0,2.0,2.0,https://www.prop.pk/property/details-20709549.html,225-1100,37-49
88,7 days ,75.0,7.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-20709552.html,1100-1975,73-85
89,7 days ,33.0,4.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20549676.html,225-1100,25-37
90,7 days ,32.0,3.0,Flat,E-11,450.0,1.0,1.0,https://www.prop.pk/property/details-20027024.html,225-1100,25-37
91,7 days ,33.0,6.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-20298101.html,225-1100,25-37
92,1 week ,85.0,6.0,Flat,"Margalla Hills-2, E-11",3000.0,4.0,4.0,https://www.prop.pk/property/details-22643967.html,2850-3725,85-97
93,1 week ,35.0,5.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21351287.html,225-1100,25-37
94,1 week ,45.0,5.0,Flat,E-11,900.0,3.0,3.0,https://www.prop.pk/property/details-21351286.html,225-1100,37-49
95,1 week ,55.0,5.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21351283.html,225-1100,49-61
96,1 week ,35.0,5.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-21351281.html,225-1100,25-37
97,1 week ,25.0,5.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-21351277.html,225-1100,25-37
98,1 week ,25.0,6.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-20179362.html,225-1100,25-37
99,1 week ,50.0,6.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-20179306.html,225-1100,49-61
100,1 week ,35.0,6.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-20179298.html,225-1100,25-37
101,1 week ,45.0,5.0,Flat,E-11,1100.0,3.0,3.0,https://www.prop.pk/property/details-20179305.html,1100-1975,37-49
102,1 week ,50.0,6.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-20179306.html,225-1100,49-61
103,1 week ,90.0,27.0,Flat,E-11,2800.0,4.0,5.0,https://www.prop.pk/property/details-22632153.html,1975-2850,85-97
104,1 week ,33.0,6.0,Flat,"E-11/3, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-22614119.html,225-1100,25-37
105,1 week ,48.0,16.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-16780196.html,1100-1975,37-49
106,1 week ,50.0,2.0,Flat,E-11,2300.0,3.0,3.0,https://www.prop.pk/property/details-22641196.html,1975-2850,49-61
107,1 week ,33.0,9.0,Flat,"E-11/2, E-11",950.0,2.0,2.0,https://www.prop.pk/property/details-16413322.html,225-1100,25-37
108,1 week ,60.0,16.0,Flat,"E-11/1, E-11",1850.0,3.0,4.0,https://www.prop.pk/property/details-22463193.html,1100-1975,49-61
109,1 week ,80.0,10.0,Flat,"E-11/2, E-11",2200.0,3.0,3.0,https://www.prop.pk/property/details-22630003.html,1975-2850,73-85
