,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
427,4 months ,38.0,6.0,Flat,E-11,500.0,2.0,2.0,https://www.prop.pk/property/details-20694569.html,225-1100,37-49
429,4 months ,73.0,13.0,Flat,E-11,1800.0,3.0,3.0,https://www.prop.pk/property/details-20674002.html,1100-1975,73-85
430,4 months ,60.0,9.0,Flat,E-11,1700.0,3.0,3.0,https://www.prop.pk/property/details-20655013.html,1100-1975,49-61
431,4 months ,64.0,17.0,Flat,"E-11/1, E-11",1575.0,3.0,4.0,https://www.prop.pk/property/details-20553165.html,1100-1975,61-73
432,4 months ,42.0,11.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-18160356.html,1100-1975,37-49
433,4 months ,80.0,17.0,Flat,"E-11/1, E-11",3000.0,4.0,4.0,https://www.prop.pk/property/details-16436180.html,2850-3725,73-85
434,4 months ,37.0,2.0,Flat,"E-11/3, E-11",900.0,3.0,3.0,https://www.prop.pk/property/details-20427938.html,225-1100,37-49
435,4 months ,40.0,10.0,Flat,"E-11/2, E-11",1200.0,3.0,3.0,https://www.prop.pk/property/details-20412667.html,1100-1975,37-49
436,4 months ,50.0,16.0,Flat,"Khudadad Heights, E-11/4",2400.0,3.0,3.0,https://www.prop.pk/property/details-18009652.html,1975-2850,49-61
437,4 months ,28.0,8.0,Flat,"E-11/2, E-11",800.0,2.0,2.0,https://www.prop.pk/property/details-20354961.html,225-1100,25-37
438,4 months ,37.0,5.0,Flat,"Others, E-11/2",850.0,2.0,2.0,https://www.prop.pk/property/details-19430369.html,225-1100,37-49
439,4 months ,33.0,12.0,Flat,"E-11/2, E-11",750.0,1.0,1.0,https://www.prop.pk/property/details-20295071.html,225-1100,25-37
440,4 months ,45.0,6.0,Flat,E-11,2250.0,3.0,3.0,https://www.prop.pk/property/details-20288802.html,1975-2850,37-49
441,4 months ,45.0,10.0,Flat,E-11,875.0,2.0,2.0,https://www.prop.pk/property/details-20276408.html,225-1100,37-49
442,4 months ,46.0,8.0,Flat,E-11,985.0,2.0,2.0,https://www.prop.pk/property/details-20274966.html,225-1100,37-49
443,4 months ,40.0,3.0,Flat,E-11,1300.0,1.0,2.0,https://www.prop.pk/property/details-20195007.html,1100-1975,37-49
444,4 months ,85.0,9.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-19810918.html,1100-1975,85-97
445,5 months ,30.0,1.0,Flat,"E-11/4, E-11",1250.0,2.0,2.0,https://www.prop.pk/property/details-20140076.html,1100-1975,25-37
446,5 months ,75.0,9.0,Flat,"E-11/4, E-11",1250.0,2.0,2.0,https://www.prop.pk/property/details-20139409.html,1100-1975,73-85
447,5 months ,29.0,7.0,Flat,E-11,800.0,2.0,2.0,https://www.prop.pk/property/details-20134647.html,225-1100,25-37
448,5 months ,55.0,25.0,Flat,E-11,1300.0,3.0,3.0,https://www.prop.pk/property/details-20117165.html,1100-1975,49-61
449,5 months ,65.0,5.0,Flat,"Margalla Hills-2, E-11",1500.0,3.0,3.0,https://www.prop.pk/property/details-19521649.html,1100-1975,61-73
450,5 months ,65.0,5.0,Flat,"Margalla Hills-2, E-11",1500.0,3.0,3.0,https://www.prop.pk/property/details-19521649.html,1100-1975,61-73
451,5 months ,38.0,14.0,Flat,E-11,699.0,1.0,1.0,https://www.prop.pk/property/details-19976560.html,225-1100,37-49
452,5 months ,48.0,8.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-19945242.html,225-1100,37-49
453,5 months ,65.0,10.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-19694614.html,225-1100,61-73
454,5 months ,34.0,8.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-18300299.html,225-1100,25-37
455,5 months ,90.0,3.0,Flat,"Makkah Tower, E-11",3150.0,3.0,4.0,https://www.prop.pk/property/details-19519447.html,2850-3725,85-97
456,6 months ,30.0,11.0,Flat,"E-11/4, E-11",600.0,1.0,1.0,https://www.prop.pk/property/details-19416198.html,225-1100,25-37
457,6 months ,26.0,7.0,Flat,"E-11/3, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-19104584.html,225-1100,25-37
458,More than 6 months ,27.0,5.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-18447541.html,225-1100,25-37
459,More than 6 months ,50.0,29.0,Flat,"E-11/3, E-11",1575.0,3.0,3.0,https://www.prop.pk/property/details-16428887.html,1100-1975,49-61
460,More than 6 months ,45.0,10.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-13151382.html,1100-1975,37-49
461,More than 6 months ,66.0,17.0,Flat,"E-11/1, E-11",1700.0,3.0,3.0,https://www.prop.pk/property/details-13151385.html,1100-1975,61-73
462,More than 6 months ,66.0,11.0,Flat,"MPCHS - Islamabad Garden, E-11/1",1800.0,3.0,3.0,https://www.prop.pk/property/details-7883280.html,1100-1975,61-73
465,1 day ,65.0,22.0,Flat,"E-11/4, E-11",1750.0,3.0,3.0,https://www.prop.pk/property/details-22735599.html,1100-1975,61-73
467,2 days ,40.0,14.0,Flat,E-11,225.0,2.0,1.0,https://www.prop.pk/property/details-22724942.html,225-1100,37-49
521,2 weeks ,35.0,8.0,Flat,E-11,450.0,1.0,1.0,https://www.prop.pk/property/details-22514813.html,225-1100,25-37
522,2 weeks ,20.0,4.0,Flat,E-11,300.0,1.0,1.0,https://www.prop.pk/property/details-22503714.html,225-1100,14-25
524,4 weeks ,55.0,13.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-22406858.html,1100-1975,49-61
537,1 month ,60.0,6.0,Flat,"E-11/1, E-11",1400.0,2.0,3.0,https://www.prop.pk/property/details-22066811.html,1100-1975,49-61
538,2 months ,55.0,10.0,Flat,E-11,1700.0,2.0,2.0,https://www.prop.pk/property/details-22011985.html,1100-1975,49-61
540,2 months ,55.0,7.0,Flat,E-11,1400.0,2.0,2.0,https://www.prop.pk/property/details-21930113.html,1100-1975,49-61
541,2 months ,65.0,7.0,Flat,E-11,1800.0,3.0,3.0,https://www.prop.pk/property/details-21930107.html,1100-1975,61-73
549,2 months ,45.0,5.0,Flat,"E-11/2, E-11",600.0,2.0,2.0,https://www.prop.pk/property/details-21557162.html,225-1100,37-49
